review_id,order_id,customer_id,restaurant_id,review_rating,review_text,sentiment,review_length,review_text_lower,review_text_no_punctuation,tokens,tokens_no_stopwords,lemmatized_tokens,clean_text
REV_002445,ORD_007598,CUST_01237,REST_0041,5,The food quality was excellent. The packaging was good.,Positive,55,the food quality was excellent. the packaging was good.,the food quality was excellent the packaging was good,"['the', 'food', 'quality', 'was', 'excellent', 'the', 'packaging', 'was', 'good']","['food', 'quality', 'excellent', 'packaging', 'good']","['food', 'quality', 'excellent', 'packaging', 'good']",food quality excellent packaging good
REV_002446,ORD_005918,CUST_00332,REST_0071,4,The food arrived hot and fresh. The packaging kept the food fresh.,Positive,66,the food arrived hot and fresh. the packaging kept the food fresh.,the food arrived hot and fresh the packaging kept the food fresh,"['the', 'food', 'arrived', 'hot', 'and', 'fresh', 'the', 'packaging', 'kept', 'the', 'food', 'fresh']","['food', 'arrived', 'hot', 'fresh', 'packaging', 'kept', 'food', 'fresh']","['food', 'arrived', 'hot', 'fresh', 'packaging', 'kept', 'food', 'fresh']",food arrived hot fresh packaging kept food fresh
REV_002447,ORD_004036,CUST_00829,REST_0086,4,The food was fresh and tasty. The packaging kept the food fresh.,Positive,64,the food was fresh and tasty. the packaging kept the food fresh.,the food was fresh and tasty the packaging kept the food fresh,"['the', 'food', 'was', 'fresh', 'and', 'tasty', 'the', 'packaging', 'kept', 'the', 'food', 'fresh']","['food', 'fresh', 'tasty', 'packaging', 'kept', 'food', 'fresh']","['food', 'fresh', 'tasty', 'packaging', 'kept', 'food', 'fresh']",food fresh tasty packaging kept food fresh
REV_002448,ORD_002025,CUST_01199,REST_0129,4,The food arrived hot and fresh. The order arrived without any issues.,Positive,69,the food arrived hot and fresh. the order arrived without any issues.,the food arrived hot and fresh the order arrived without any issues,"['the', 'food', 'arrived', 'hot', 'and', 'fresh', 'the', 'order', 'arrived', 'without', 'any', 'issues']","['food', 'arrived', 'hot', 'fresh', 'order', 'arrived', 'without', 'issues']","['food', 'arrived', 'hot', 'fresh', 'order', 'arrived', 'without', 'issue']",food arrived hot fresh order arrived without issue
REV_002449,ORD_008382,CUST_00745,REST_0086,4,Great food and service. Everything tasted fresh. The delivery was smooth.,Positive,73,great food and service. everything tasted fresh. the delivery was smooth.,great food and service everything tasted fresh the delivery was smooth,"['great', 'food', 'and', 'service', 'everything', 'tasted', 'fresh', 'the', 'delivery', 'was', 'smooth']","['great', 'food', 'service', 'everything', 'tasted', 'fresh', 'delivery', 'smooth']","['great', 'food', 'service', 'everything', 'tasted', 'fresh', 'delivery', 'smooth']",great food service everything tasted fresh delivery smooth
REV_002450,ORD_000935,CUST_00544,REST_0153,5,The portion size was good. Delivery was quick.,Positive,46,the portion size was good. delivery was quick.,the portion size was good delivery was quick,"['the', 'portion', 'size', 'was', 'good', 'delivery', 'was', 'quick']","['portion', 'size', 'good', 'delivery', 'quick']","['portion', 'size', 'good', 'delivery', 'quick']",portion size good delivery quick
REV_002451,ORD_009071,CUST_01347,REST_0018,3,Nothing particularly stood out. The taste was decent. The delivery was okay.,Neutral,76,nothing particularly stood out. the taste was decent. the delivery was okay.,nothing particularly stood out the taste was decent the delivery was okay,"['nothing', 'particularly', 'stood', 'out', 'the', 'taste', 'was', 'decent', 'the', 'delivery', 'was', 'okay']","['nothing', 'particularly', 'stood', 'taste', 'decent', 'delivery', 'okay']","['nothing', 'particularly', 'stood', 'taste', 'decent', 'delivery', 'okay']",nothing particularly stood taste decent delivery okay
REV_002452,ORD_004469,CUST_00879,REST_0164,4,The meal was flavorful and satisfying. The packaging was good.,Positive,62,the meal was flavorful and satisfying. the packaging was good.,the meal was flavorful and satisfying the packaging was good,"['the', 'meal', 'was', 'flavorful', 'and', 'satisfying', 'the', 'packaging', 'was', 'good']","['meal', 'flavorful', 'satisfying', 'packaging', 'good']","['meal', 'flavorful', 'satisfying', 'packaging', 'good']",meal flavorful satisfying packaging good
REV_002453,ORD_003052,CUST_00430,REST_0199,4,Really enjoyed the meal. Everything tasted great. The order arrived on time.,Positive,76,really enjoyed the meal. everything tasted great. the order arrived on time.,really enjoyed the meal everything tasted great the order arrived on time,"['really', 'enjoyed', 'the', 'meal', 'everything', 'tasted', 'great', 'the', 'order', 'arrived', 'on', 'time']","['really', 'enjoyed', 'meal', 'everything', 'tasted', 'great', 'order', 'arrived', 'time']","['really', 'enjoyed', 'meal', 'everything', 'tasted', 'great', 'order', 'arrived', 'time']",really enjoyed meal everything tasted great order arrived time
REV_002454,ORD_005688,CUST_00597,REST_0022,5,Really good experience.,Positive,23,really good experience.,really good experience,"['really', 'good', 'experience']","['really', 'good', 'experience']","['really', 'good', 'experience']",really good experience
REV_002455,ORD_004432,CUST_01016,REST_0077,4,The food quality was excellent. The order arrived without any issues.,Positive,69,the food quality was excellent. the order arrived without any issues.,the food quality was excellent the order arrived without any issues,"['the', 'food', 'quality', 'was', 'excellent', 'the', 'order', 'arrived', 'without', 'any', 'issues']","['food', 'quality', 'excellent', 'order', 'arrived', 'without', 'issues']","['food', 'quality', 'excellent', 'order', 'arrived', 'without', 'issue']",food quality excellent order arrived without issue
REV_002456,ORD_000465,CUST_01360,REST_0063,5,Really good experience. The food arrived hot and fresh. Everything arrived in good condition.,Positive,93,really good experience. the food arrived hot and fresh. everything arrived in good condition.,really good experience the food arrived hot and fresh everything arrived in good condition,"['really', 'good', 'experience', 'the', 'food', 'arrived', 'hot', 'and', 'fresh', 'everything', 'arrived', 'in', 'good', 'condition']","['really', 'good', 'experience', 'food', 'arrived', 'hot', 'fresh', 'everything', 'arrived', 'good', 'condition']","['really', 'good', 'experience', 'food', 'arrived', 'hot', 'fresh', 'everything', 'arrived', 'good', 'condition']",really good experience food arrived hot fresh everything arrived good condition
REV_002457,ORD_000207,CUST_00790,REST_0078,4,The meal was excellent. The food was fresh and tasty. The order arrived without any issues.,Positive,91,the meal was excellent. the food was fresh and tasty. the order arrived without any issues.,the meal was excellent the food was fresh and tasty the order arrived without any issues,"['the', 'meal', 'was', 'excellent', 'the', 'food', 'was', 'fresh', 'and', 'tasty', 'the', 'order', 'arrived', 'without', 'any', 'issues']","['meal', 'excellent', 'food', 'fresh', 'tasty', 'order', 'arrived', 'without', 'issues']","['meal', 'excellent', 'food', 'fresh', 'tasty', 'order', 'arrived', 'without', 'issue']",meal excellent food fresh tasty order arrived without issue
REV_002458,ORD_005116,CUST_00955,REST_0006,5,Very happy with the order. The food was fresh and tasty. The order arrived without any issues.,Positive,94,very happy with the order. the food was fresh and tasty. the order arrived without any issues.,very happy with the order the food was fresh and tasty the order arrived without any issues,"['very', 'happy', 'with', 'the', 'order', 'the', 'food', 'was', 'fresh', 'and', 'tasty', 'the', 'order', 'arrived', 'without', 'any', 'issues']","['happy', 'order', 'food', 'fresh', 'tasty', 'order', 'arrived', 'without', 'issues']","['happy', 'order', 'food', 'fresh', 'tasty', 'order', 'arrived', 'without', 'issue']",happy order food fresh tasty order arrived without issue
REV_002459,ORD_008286,CUST_01099,REST_0100,5,The portion size was good. The delivery was smooth.,Positive,51,the portion size was good. the delivery was smooth.,the portion size was good the delivery was smooth,"['the', 'portion', 'size', 'was', 'good', 'the', 'delivery', 'was', 'smooth']","['portion', 'size', 'good', 'delivery', 'smooth']","['portion', 'size', 'good', 'delivery', 'smooth']",portion size good delivery smooth
REV_002460,ORD_000251,CUST_01158,REST_0015,4,The meal was flavorful and satisfying. The order arrived without any issues.,Positive,76,the meal was flavorful and satisfying. the order arrived without any issues.,the meal was flavorful and satisfying the order arrived without any issues,"['the', 'meal', 'was', 'flavorful', 'and', 'satisfying', 'the', 'order', 'arrived', 'without', 'any', 'issues']","['meal', 'flavorful', 'satisfying', 'order', 'arrived', 'without', 'issues']","['meal', 'flavorful', 'satisfying', 'order', 'arrived', 'without', 'issue']",meal flavorful satisfying order arrived without issue
REV_002461,ORD_007518,CUST_00831,REST_0045,5,The food was prepared really well. The order arrived on time.,Positive,61,the food was prepared really well. the order arrived on time.,the food was prepared really well the order arrived on time,"['the', 'food', 'was', 'prepared', 'really', 'well', 'the', 'order', 'arrived', 'on', 'time']","['food', 'prepared', 'really', 'well', 'order', 'arrived', 'time']","['food', 'prepared', 'really', 'well', 'order', 'arrived', 'time']",food prepared really well order arrived time
REV_002462,ORD_001131,CUST_00755,REST_0073,4,Great food and service.,Positive,23,great food and service.,great food and service,"['great', 'food', 'and', 'service']","['great', 'food', 'service']","['great', 'food', 'service']",great food service
REV_002463,ORD_009614,CUST_01360,REST_0012,4,Loved the overall experience. The meal was flavorful and satisfying. The order arrived on time.,Positive,95,loved the overall experience. the meal was flavorful and satisfying. the order arrived on time.,loved the overall experience the meal was flavorful and satisfying the order arrived on time,"['loved', 'the', 'overall', 'experience', 'the', 'meal', 'was', 'flavorful', 'and', 'satisfying', 'the', 'order', 'arrived', 'on', 'time']","['loved', 'overall', 'experience', 'meal', 'flavorful', 'satisfying', 'order', 'arrived', 'time']","['loved', 'overall', 'experience', 'meal', 'flavorful', 'satisfying', 'order', 'arrived', 'time']",loved overall experience meal flavorful satisfying order arrived time
REV_002464,ORD_004349,CUST_00035,REST_0060,4,The food was fresh and tasty. The packaging was good.,Positive,53,the food was fresh and tasty. the packaging was good.,the food was fresh and tasty the packaging was good,"['the', 'food', 'was', 'fresh', 'and', 'tasty', 'the', 'packaging', 'was', 'good']","['food', 'fresh', 'tasty', 'packaging', 'good']","['food', 'fresh', 'tasty', 'packaging', 'good']",food fresh tasty packaging good
REV_002465,ORD_007069,CUST_01310,REST_0037,5,Loved the overall experience. Everything tasted great. The order arrived on time.,Positive,81,loved the overall experience. everything tasted great. the order arrived on time.,loved the overall experience everything tasted great the order arrived on time,"['loved', 'the', 'overall', 'experience', 'everything', 'tasted', 'great', 'the', 'order', 'arrived', 'on', 'time']","['loved', 'overall', 'experience', 'everything', 'tasted', 'great', 'order', 'arrived', 'time']","['loved', 'overall', 'experience', 'everything', 'tasted', 'great', 'order', 'arrived', 'time']",loved overall experience everything tasted great order arrived time
REV_002466,ORD_002075,CUST_00414,REST_0147,4,The food arrived hot and fresh. The packaging was good.,Positive,55,the food arrived hot and fresh. the packaging was good.,the food arrived hot and fresh the packaging was good,"['the', 'food', 'arrived', 'hot', 'and', 'fresh', 'the', 'packaging', 'was', 'good']","['food', 'arrived', 'hot', 'fresh', 'packaging', 'good']","['food', 'arrived', 'hot', 'fresh', 'packaging', 'good']",food arrived hot fresh packaging good
REV_002467,ORD_008825,CUST_00247,REST_0134,5,The meal was excellent. The food quality was excellent. The delivery was smooth.,Positive,80,the meal was excellent. the food quality was excellent. the delivery was smooth.,the meal was excellent the food quality was excellent the delivery was smooth,"['the', 'meal', 'was', 'excellent', 'the', 'food', 'quality', 'was', 'excellent', 'the', 'delivery', 'was', 'smooth']","['meal', 'excellent', 'food', 'quality', 'excellent', 'delivery', 'smooth']","['meal', 'excellent', 'food', 'quality', 'excellent', 'delivery', 'smooth']",meal excellent food quality excellent delivery smooth
REV_002468,ORD_000866,CUST_00902,REST_0095,3,The order was satisfactory. The food was neither great nor bad. Delivery was acceptable.,Neutral,88,the order was satisfactory. the food was neither great nor bad. delivery was acceptable.,the order was satisfactory the food was neither great nor bad delivery was acceptable,"['the', 'order', 'was', 'satisfactory', 'the', 'food', 'was', 'neither', 'great', 'nor', 'bad', 'delivery', 'was', 'acceptable']","['order', 'satisfactory', 'food', 'neither', 'great', 'bad', 'delivery', 'acceptable']","['order', 'satisfactory', 'food', 'neither', 'great', 'bad', 'delivery', 'acceptable']",order satisfactory food neither great bad delivery acceptable
REV_002469,ORD_001618,CUST_00929,REST_0125,4,The food was delicious. The portion size was good. The delivery was smooth.,Positive,75,the food was delicious. the portion size was good. the delivery was smooth.,the food was delicious the portion size was good the delivery was smooth,"['the', 'food', 'was', 'delicious', 'the', 'portion', 'size', 'was', 'good', 'the', 'delivery', 'was', 'smooth']","['food', 'delicious', 'portion', 'size', 'good', 'delivery', 'smooth']","['food', 'delicious', 'portion', 'size', 'good', 'delivery', 'smooth']",food delicious portion size good delivery smooth
REV_002470,ORD_007944,CUST_00475,REST_0010,3,The meal was fine. The delivery experience was average.,Neutral,55,the meal was fine. the delivery experience was average.,the meal was fine the delivery experience was average,"['the', 'meal', 'was', 'fine', 'the', 'delivery', 'experience', 'was', 'average']","['meal', 'fine', 'delivery', 'experience', 'average']","['meal', 'fine', 'delivery', 'experience', 'average']",meal fine delivery experience average
REV_002471,ORD_009039,CUST_00592,REST_0073,4,The meal was excellent. The portion size was good. Everything arrived in good condition.,Positive,88,the meal was excellent. the portion size was good. everything arrived in good condition.,the meal was excellent the portion size was good everything arrived in good condition,"['the', 'meal', 'was', 'excellent', 'the', 'portion', 'size', 'was', 'good', 'everything', 'arrived', 'in', 'good', 'condition']","['meal', 'excellent', 'portion', 'size', 'good', 'everything', 'arrived', 'good', 'condition']","['meal', 'excellent', 'portion', 'size', 'good', 'everything', 'arrived', 'good', 'condition']",meal excellent portion size good everything arrived good condition
REV_002472,ORD_001228,CUST_01333,REST_0002,3,Nothing particularly stood out. The food was acceptable. The order arrived around the expected time.,Neutral,100,nothing particularly stood out. the food was acceptable. the order arrived around the expected time.,nothing particularly stood out the food was acceptable the order arrived around the expected time,"['nothing', 'particularly', 'stood', 'out', 'the', 'food', 'was', 'acceptable', 'the', 'order', 'arrived', 'around', 'the', 'expected', 'time']","['nothing', 'particularly', 'stood', 'food', 'acceptable', 'order', 'arrived', 'around', 'expected', 'time']","['nothing', 'particularly', 'stood', 'food', 'acceptable', 'order', 'arrived', 'around', 'expected', 'time']",nothing particularly stood food acceptable order arrived around expected time
REV_002473,ORD_008347,CUST_00036,REST_0015,3,The food quality was average. The packaging was average.,Neutral,56,the food quality was average. the packaging was average.,the food quality was average the packaging was average,"['the', 'food', 'quality', 'was', 'average', 'the', 'packaging', 'was', 'average']","['food', 'quality', 'average', 'packaging', 'average']","['food', 'quality', 'average', 'packaging', 'average']",food quality average packaging average
REV_002474,ORD_006456,CUST_00746,REST_0172,5,Great food and service. The food arrived hot and fresh. The order arrived on time.,Positive,82,great food and service. the food arrived hot and fresh. the order arrived on time.,great food and service the food arrived hot and fresh the order arrived on time,"['great', 'food', 'and', 'service', 'the', 'food', 'arrived', 'hot', 'and', 'fresh', 'the', 'order', 'arrived', 'on', 'time']","['great', 'food', 'service', 'food', 'arrived', 'hot', 'fresh', 'order', 'arrived', 'time']","['great', 'food', 'service', 'food', 'arrived', 'hot', 'fresh', 'order', 'arrived', 'time']",great food service food arrived hot fresh order arrived time
REV_002475,ORD_002403,CUST_00376,REST_0070,4,Great food and service. The meal was flavorful and satisfying. Everything arrived in good condition.,Positive,100,great food and service. the meal was flavorful and satisfying. everything arrived in good condition.,great food and service the meal was flavorful and satisfying everything arrived in good condition,"['great', 'food', 'and', 'service', 'the', 'meal', 'was', 'flavorful', 'and', 'satisfying', 'everything', 'arrived', 'in', 'good', 'condition']","['great', 'food', 'service', 'meal', 'flavorful', 'satisfying', 'everything', 'arrived', 'good', 'condition']","['great', 'food', 'service', 'meal', 'flavorful', 'satisfying', 'everything', 'arrived', 'good', 'condition']",great food service meal flavorful satisfying everything arrived good condition
REV_002476,ORD_003334,CUST_00243,REST_0128,4,The food was delicious. The food was fresh and tasty. The order arrived without any issues.,Positive,91,the food was delicious. the food was fresh and tasty. the order arrived without any issues.,the food was delicious the food was fresh and tasty the order arrived without any issues,"['the', 'food', 'was', 'delicious', 'the', 'food', 'was', 'fresh', 'and', 'tasty', 'the', 'order', 'arrived', 'without', 'any', 'issues']","['food', 'delicious', 'food', 'fresh', 'tasty', 'order', 'arrived', 'without', 'issues']","['food', 'delicious', 'food', 'fresh', 'tasty', 'order', 'arrived', 'without', 'issue']",food delicious food fresh tasty order arrived without issue
REV_002477,ORD_008870,CUST_01356,REST_0099,3,The food quality was average. The order was packed reasonably well.,Neutral,67,the food quality was average. the order was packed reasonably well.,the food quality was average the order was packed reasonably well,"['the', 'food', 'quality', 'was', 'average', 'the', 'order', 'was', 'packed', 'reasonably', 'well']","['food', 'quality', 'average', 'order', 'packed', 'reasonably', 'well']","['food', 'quality', 'average', 'order', 'packed', 'reasonably', 'well']",food quality average order packed reasonably well
REV_002478,ORD_003269,CUST_00080,REST_0109,5,Everything tasted great. The packaging was good.,Positive,48,everything tasted great. the packaging was good.,everything tasted great the packaging was good,"['everything', 'tasted', 'great', 'the', 'packaging', 'was', 'good']","['everything', 'tasted', 'great', 'packaging', 'good']","['everything', 'tasted', 'great', 'packaging', 'good']",everything tasted great packaging good
REV_002479,ORD_007710,CUST_01195,REST_0103,3,The meal was fine. The packaging was fine.,Neutral,42,the meal was fine. the packaging was fine.,the meal was fine the packaging was fine,"['the', 'meal', 'was', 'fine', 'the', 'packaging', 'was', 'fine']","['meal', 'fine', 'packaging', 'fine']","['meal', 'fine', 'packaging', 'fine']",meal fine packaging fine
REV_002480,ORD_006890,CUST_00796,REST_0127,5,Very happy with the order. The food arrived hot and fresh. The delivery was faster than expected.,Positive,97,very happy with the order. the food arrived hot and fresh. the delivery was faster than expected.,very happy with the order the food arrived hot and fresh the delivery was faster than expected,"['very', 'happy', 'with', 'the', 'order', 'the', 'food', 'arrived', 'hot', 'and', 'fresh', 'the', 'delivery', 'was', 'faster', 'than', 'expected']","['happy', 'order', 'food', 'arrived', 'hot', 'fresh', 'delivery', 'faster', 'expected']","['happy', 'order', 'food', 'arrived', 'hot', 'fresh', 'delivery', 'faster', 'expected']",happy order food arrived hot fresh delivery faster expected
REV_002481,ORD_009603,CUST_01339,REST_0020,5,Everything tasted fresh. Everything arrived in good condition.,Positive,62,everything tasted fresh. everything arrived in good condition.,everything tasted fresh everything arrived in good condition,"['everything', 'tasted', 'fresh', 'everything', 'arrived', 'in', 'good', 'condition']","['everything', 'tasted', 'fresh', 'everything', 'arrived', 'good', 'condition']","['everything', 'tasted', 'fresh', 'everything', 'arrived', 'good', 'condition']",everything tasted fresh everything arrived good condition
REV_002482,ORD_002331,CUST_01012,REST_0185,3,The taste was decent. The delivery experience was average.,Neutral,58,the taste was decent. the delivery experience was average.,the taste was decent the delivery experience was average,"['the', 'taste', 'was', 'decent', 'the', 'delivery', 'experience', 'was', 'average']","['taste', 'decent', 'delivery', 'experience', 'average']","['taste', 'decent', 'delivery', 'experience', 'average']",taste decent delivery experience average
REV_002483,ORD_006720,CUST_00383,REST_0098,4,Everything tasted fresh. The delivery was faster than expected.,Positive,63,everything tasted fresh. the delivery was faster than expected.,everything tasted fresh the delivery was faster than expected,"['everything', 'tasted', 'fresh', 'the', 'delivery', 'was', 'faster', 'than', 'expected']","['everything', 'tasted', 'fresh', 'delivery', 'faster', 'expected']","['everything', 'tasted', 'fresh', 'delivery', 'faster', 'expected']",everything tasted fresh delivery faster expected
REV_002484,ORD_003196,CUST_00322,REST_0158,5,Everything tasted fresh. Everything arrived in good condition.,Positive,62,everything tasted fresh. everything arrived in good condition.,everything tasted fresh everything arrived in good condition,"['everything', 'tasted', 'fresh', 'everything', 'arrived', 'in', 'good', 'condition']","['everything', 'tasted', 'fresh', 'everything', 'arrived', 'good', 'condition']","['everything', 'tasted', 'fresh', 'everything', 'arrived', 'good', 'condition']",everything tasted fresh everything arrived good condition
REV_002485,ORD_001778,CUST_01433,REST_0132,5,Very happy with the order.,Positive,26,very happy with the order.,very happy with the order,"['very', 'happy', 'with', 'the', 'order']","['happy', 'order']","['happy', 'order']",happy order
REV_002486,ORD_005727,CUST_01281,REST_0147,4,The food quality was excellent. The delivery was faster than expected.,Positive,70,the food quality was excellent. the delivery was faster than expected.,the food quality was excellent the delivery was faster than expected,"['the', 'food', 'quality', 'was', 'excellent', 'the', 'delivery', 'was', 'faster', 'than', 'expected']","['food', 'quality', 'excellent', 'delivery', 'faster', 'expected']","['food', 'quality', 'excellent', 'delivery', 'faster', 'expected']",food quality excellent delivery faster expected
REV_002487,ORD_008030,CUST_00370,REST_0161,4,Everything tasted fresh. The packaging kept the food fresh.,Positive,59,everything tasted fresh. the packaging kept the food fresh.,everything tasted fresh the packaging kept the food fresh,"['everything', 'tasted', 'fresh', 'the', 'packaging', 'kept', 'the', 'food', 'fresh']","['everything', 'tasted', 'fresh', 'packaging', 'kept', 'food', 'fresh']","['everything', 'tasted', 'fresh', 'packaging', 'kept', 'food', 'fresh']",everything tasted fresh packaging kept food fresh
REV_002488,ORD_000173,CUST_01218,REST_0111,4,The meal was excellent.,Positive,23,the meal was excellent.,the meal was excellent,"['the', 'meal', 'was', 'excellent']","['meal', 'excellent']","['meal', 'excellent']",meal excellent
REV_002489,ORD_002844,CUST_01346,REST_0091,4,Really good experience.,Positive,23,really good experience.,really good experience,"['really', 'good', 'experience']","['really', 'good', 'experience']","['really', 'good', 'experience']",really good experience
REV_002490,ORD_003236,CUST_00117,REST_0163,5,Great food and service. The meal was flavorful and satisfying. The order arrived without any issues.,Positive,100,great food and service. the meal was flavorful and satisfying. the order arrived without any issues.,great food and service the meal was flavorful and satisfying the order arrived without any issues,"['great', 'food', 'and', 'service', 'the', 'meal', 'was', 'flavorful', 'and', 'satisfying', 'the', 'order', 'arrived', 'without', 'any', 'issues']","['great', 'food', 'service', 'meal', 'flavorful', 'satisfying', 'order', 'arrived', 'without', 'issues']","['great', 'food', 'service', 'meal', 'flavorful', 'satisfying', 'order', 'arrived', 'without', 'issue']",great food service meal flavorful satisfying order arrived without issue
REV_002491,ORD_003747,CUST_00536,REST_0125,5,The food quality was excellent. The driver delivered the order quickly.,Positive,71,the food quality was excellent. the driver delivered the order quickly.,the food quality was excellent the driver delivered the order quickly,"['the', 'food', 'quality', 'was', 'excellent', 'the', 'driver', 'delivered', 'the', 'order', 'quickly']","['food', 'quality', 'excellent', 'driver', 'delivered', 'order', 'quickly']","['food', 'quality', 'excellent', 'driver', 'delivered', 'order', 'quickly']",food quality excellent driver delivered order quickly
REV_002492,ORD_008996,CUST_00927,REST_0031,4,Really good experience. The food was fresh and tasty. The order arrived on time.,Positive,80,really good experience. the food was fresh and tasty. the order arrived on time.,really good experience the food was fresh and tasty the order arrived on time,"['really', 'good', 'experience', 'the', 'food', 'was', 'fresh', 'and', 'tasty', 'the', 'order', 'arrived', 'on', 'time']","['really', 'good', 'experience', 'food', 'fresh', 'tasty', 'order', 'arrived', 'time']","['really', 'good', 'experience', 'food', 'fresh', 'tasty', 'order', 'arrived', 'time']",really good experience food fresh tasty order arrived time
REV_002493,ORD_005013,CUST_00309,REST_0058,5,The meal was excellent. The food was prepared really well. The driver delivered the order quickly.,Positive,98,the meal was excellent. the food was prepared really well. the driver delivered the order quickly.,the meal was excellent the food was prepared really well the driver delivered the order quickly,"['the', 'meal', 'was', 'excellent', 'the', 'food', 'was', 'prepared', 'really', 'well', 'the', 'driver', 'delivered', 'the', 'order', 'quickly']","['meal', 'excellent', 'food', 'prepared', 'really', 'well', 'driver', 'delivered', 'order', 'quickly']","['meal', 'excellent', 'food', 'prepared', 'really', 'well', 'driver', 'delivered', 'order', 'quickly']",meal excellent food prepared really well driver delivered order quickly
REV_002494,ORD_007065,CUST_01304,REST_0131,4,Loved the overall experience. The food was fresh and tasty. The driver delivered the order quickly.,Positive,99,loved the overall experience. the food was fresh and tasty. the driver delivered the order quickly.,loved the overall experience the food was fresh and tasty the driver delivered the order quickly,"['loved', 'the', 'overall', 'experience', 'the', 'food', 'was', 'fresh', 'and', 'tasty', 'the', 'driver', 'delivered', 'the', 'order', 'quickly']","['loved', 'overall', 'experience', 'food', 'fresh', 'tasty', 'driver', 'delivered', 'order', 'quickly']","['loved', 'overall', 'experience', 'food', 'fresh', 'tasty', 'driver', 'delivered', 'order', 'quickly']",loved overall experience food fresh tasty driver delivered order quickly
REV_002495,ORD_007103,CUST_00302,REST_0063,5,Very satisfied with the order. The portion size was good. Delivery was quick.,Positive,77,very satisfied with the order. the portion size was good. delivery was quick.,very satisfied with the order the portion size was good delivery was quick,"['very', 'satisfied', 'with', 'the', 'order', 'the', 'portion', 'size', 'was', 'good', 'delivery', 'was', 'quick']","['satisfied', 'order', 'portion', 'size', 'good', 'delivery', 'quick']","['satisfied', 'order', 'portion', 'size', 'good', 'delivery', 'quick']",satisfied order portion size good delivery quick
REV_002496,ORD_007439,CUST_00049,REST_0114,3,It was a decent experience. The food was acceptable. The order arrived around the expected time.,Neutral,96,it was a decent experience. the food was acceptable. the order arrived around the expected time.,it was a decent experience the food was acceptable the order arrived around the expected time,"['it', 'was', 'a', 'decent', 'experience', 'the', 'food', 'was', 'acceptable', 'the', 'order', 'arrived', 'around', 'the', 'expected', 'time']","['decent', 'experience', 'food', 'acceptable', 'order', 'arrived', 'around', 'expected', 'time']","['decent', 'experience', 'food', 'acceptable', 'order', 'arrived', 'around', 'expected', 'time']",decent experience food acceptable order arrived around expected time
REV_002497,ORD_002722,CUST_00508,REST_0146,4,Very satisfied with the order. The food was fresh and tasty. Everything arrived in good condition.,Positive,98,very satisfied with the order. the food was fresh and tasty. everything arrived in good condition.,very satisfied with the order the food was fresh and tasty everything arrived in good condition,"['very', 'satisfied', 'with', 'the', 'order', 'the', 'food', 'was', 'fresh', 'and', 'tasty', 'everything', 'arrived', 'in', 'good', 'condition']","['satisfied', 'order', 'food', 'fresh', 'tasty', 'everything', 'arrived', 'good', 'condition']","['satisfied', 'order', 'food', 'fresh', 'tasty', 'everything', 'arrived', 'good', 'condition']",satisfied order food fresh tasty everything arrived good condition
REV_002498,ORD_002585,CUST_01253,REST_0050,4,Everything tasted great. The packaging was neat.,Positive,48,everything tasted great. the packaging was neat.,everything tasted great the packaging was neat,"['everything', 'tasted', 'great', 'the', 'packaging', 'was', 'neat']","['everything', 'tasted', 'great', 'packaging', 'neat']","['everything', 'tasted', 'great', 'packaging', 'neat']",everything tasted great packaging neat
REV_002499,ORD_003119,CUST_01017,REST_0073,5,Really enjoyed the meal. The food quality was excellent. Everything arrived in good condition.,Positive,94,really enjoyed the meal. the food quality was excellent. everything arrived in good condition.,really enjoyed the meal the food quality was excellent everything arrived in good condition,"['really', 'enjoyed', 'the', 'meal', 'the', 'food', 'quality', 'was', 'excellent', 'everything', 'arrived', 'in', 'good', 'condition']","['really', 'enjoyed', 'meal', 'food', 'quality', 'excellent', 'everything', 'arrived', 'good', 'condition']","['really', 'enjoyed', 'meal', 'food', 'quality', 'excellent', 'everything', 'arrived', 'good', 'condition']",really enjoyed meal food quality excellent everything arrived good condition
REV_002500,ORD_009174,CUST_00558,REST_0043,5,Really good experience. Everything tasted fresh. Delivery was quick.,Positive,68,really good experience. everything tasted fresh. delivery was quick.,really good experience everything tasted fresh delivery was quick,"['really', 'good', 'experience', 'everything', 'tasted', 'fresh', 'delivery', 'was', 'quick']","['really', 'good', 'experience', 'everything', 'tasted', 'fresh', 'delivery', 'quick']","['really', 'good', 'experience', 'everything', 'tasted', 'fresh', 'delivery', 'quick']",really good experience everything tasted fresh delivery quick
REV_002501,ORD_004903,CUST_00140,REST_0091,5,Very satisfied with the order. The food quality was excellent. The delivery was faster than expected.,Positive,101,very satisfied with the order. the food quality was excellent. the delivery was faster than expected.,very satisfied with the order the food quality was excellent the delivery was faster than expected,"['very', 'satisfied', 'with', 'the', 'order', 'the', 'food', 'quality', 'was', 'excellent', 'the', 'delivery', 'was', 'faster', 'than', 'expected']","['satisfied', 'order', 'food', 'quality', 'excellent', 'delivery', 'faster', 'expected']","['satisfied', 'order', 'food', 'quality', 'excellent', 'delivery', 'faster', 'expected']",satisfied order food quality excellent delivery faster expected
REV_002502,ORD_004003,CUST_00707,REST_0070,3,The food was okay overall.,Neutral,26,the food was okay overall.,the food was okay overall,"['the', 'food', 'was', 'okay', 'overall']","['food', 'okay', 'overall']","['food', 'okay', 'overall']",food okay overall
